agent model,guess model,general,Search,Lookup,Finish,normal_avg_searchtime,sim_avg_searchtime
google/gemini-2.5-flash,openai/gpt-4.1-nano,0.43433333333333335,0.3753333333333333,0.10666666666666667,0.42,0.49812324677605097,1.7237136168975598
google/gemini-2.5-flash,openai/gpt-3.5-turbo,0.33711111111111114,0.3197777777777777,0.07777777777777778,0.2977777777777778,0.5586256913544061,1.4071460541735092
google/gemini-2.5-flash,google/gemini-2.5-flash,0.4206666666666667,0.3795555555555555,0.08266666666666667,0.44666666666666666,0.5226933009828134,1.0424819906255145
google/gemini-2.5-flash,google/gemini-2.5-flash-lite,0.358,0.31711111111111107,0.057777777777777775,0.3466666666666667,0.5603668878241849,0.8141567927606453
openai/gpt-4,openai/gpt-4.1-nano,0.2618279569892473,0.15860215053763438,0.16129032258064516,0.2903225806451613,0.5408851837001649,1.7716446778621533
openai/gpt-4,openai/gpt-3.5-turbo,0.32488888888888884,0.2924444444444444,0.11555555555555558,0.30666666666666664,0.5273894488736213,1.4865608846936504
openai/gpt-4,google/gemini-2.5-flash,0.2702222222222222,0.20977777777777776,0.07777777777777778,0.3333333333333333,0.5406390005215588,1.1254984828067633
openai/gpt-4,google/gemini-2.5-flash-lite,0.2837777777777778,0.25,0.14222222222222222,0.2,0.544018729970504,0.84675921177639
openai/gpt-5,openai/gpt-4.1-nano,0.619047619047619,0.35714285714285715,0.4523809523809524,0.42857142857142855,0.5986836488051007,2.1171881864457167
openai/gpt-5,openai/gpt-3.5-turbo,0.25,0.3333333333333333,0.0,0.16666666666666666,0.5491333578344589,1.9736737601067744
openai/gpt-5,google/gemini-2.5-flash-lite,0.36578947368421055,0.3508771929824561,0.13157894736842105,0.21052631578947367,0.5431731963865133,0.9257670206460988
